State,id
Alabama,1
Arkansas,5
Arizona,4
California,6
Colorado,8
Connecticut,9
Delaware,10
Florida,12
Georgia,13
Iowa,19
Idaho,16
Illinois,17
Indiana,18
Kansas,20
Kentucky,21
Louisiana,22
Massachusetts,25
Maryland,24
Maine,23
Michigan,26
Minnessota,27
Missouri,29
Mississippi,28
Montana,30
North Carolina,37
North Dakota,38
Nebraska,31
New Hampshire,33
New Jersey,34
New Mexico,35
Nevada,32
New York,36
Ohio,39
Oklahoma,40
Oregon,41
Pennsylvania,42
Rhode Island,44
South Carolina,45
South Dakota,46
Tennessee,47
Texas,48
Utah,49
Virginia,51
Vermont,50
Washington,53
Wisconsin,55
West Virginia,54
Wyoming,56